Name,Last,% Diff,Max,Min,Volum,Cash,Date,Time
ACCIONA,"180,0000","0,06","181,7000","179,7000",10.187,"1.838,67",31/05/2022,09:28:39
ACERINOX,"11,9550","0,08","12,0000","11,8000",218.437,"2.603,18",31/05/2022,09:29:00
ACS,"26,8500","0,60","26,8900","26,6200",58.228,"1.557,05",31/05/2022,09:29:07
AENA,"141,4500","-0,32","142,3500","140,8500",8.867,"1.256,01",31/05/2022,09:28:02
ALMIRALL,"10,5300","-0,19","10,6400","10,5300",28.031,"296,72",31/05/2022,09:20:13
AMADEUS,"59,3400","-2,14","59,9600","58,9200",47.648,"2.831,24",31/05/2022,09:29:13
ARCELORMIT.,"30,3000","-0,66","30,4550","30,1600",42.289,"1.280,79",31/05/2022,09:28:49
B.SANTANDER,"3,0545","-0,76","3,0730","3,0470",2.526.699,"7.720,93",31/05/2022,09:29:08
BA.SABADELL,"0,8412","-0,05","0,8500","0,8390",1.741.257,"1.467,58",31/05/2022,09:28:52
BANKINTER,"5,9620","-0,10","5,9880","5,9360",158.504,"944,26",31/05/2022,09:29:02
BBVA,"5,1120","-0,68","5,1600","5,0960",815.605,"4.182,16",31/05/2022,09:28:44
CAIXABANK,"3,3810","-0,65","3,3950","3,3670",1.272.587,"4.304,89",31/05/2022,09:28:57
CELLNEX,"41,9500","-0,78","42,4900","41,8700",184.503,"7.771,86",31/05/2022,09:29:05
CIE AUTOMOT.,"23,3200","-1,10","23,4000","23,1800",12.422,"289,03",31/05/2022,09:26:16
ENAGAS,"21,4300","-0,23","21,5200","21,3600",46.087,"987,57",31/05/2022,09:27:09
ENDESA,"20,7500","-0,14","20,9000","20,6800",42.963,"891,51",31/05/2022,09:28:35
FERROVIAL,"24,0900","-1,03","24,2700","24,0000",41.752,"1.006,44",31/05/2022,09:26:15
FLUIDRA,"24,8600","-1,19","25,1000","24,7400",40.140,"1.000,20",31/05/2022,09:28:19
GRIFOLS CL.A,"19,5350","-0,33","19,7200","19,5300",38.928,"763,36",31/05/2022,09:28:58
IAG,"1,5325","-3,53","1,5635","1,5200",7.222.907,"11.112,03",31/05/2022,09:28:55
IBERDROLA,"11,0900","-0,18","11,1300","11,0600",307.395,"3.409,18",31/05/2022,09:29:05
INDITEX,"22,5000","0,04","22,5100","22,3000",128.182,"2.875,31",31/05/2022,09:27:50
INDRA A,"10,1900","-0,59","10,2000","10,1500",16.192,"164,73",31/05/2022,09:27:04
INM.COLONIAL,"7,6150","-2,18","7,7000","7,6000",46.019,"352,38",31/05/2022,09:27:45
MAPFRE,"1,7470","-0,34","1,7570","1,7420",608.852,"1.064,85",31/05/2022,09:28:00
MELIA HOTELS,"7,4500","0,00","7,4650","7,4050",53.165,"395,36",31/05/2022,09:29:00
MERLIN,"10,5100","-1,22","10,6400","10,4900",32.207,"339,68",31/05/2022,09:27:58
NATURGY,"28,0300","-1,30","28,3500","27,9400",37.889,"1.064,92",31/05/2022,09:28:16
PHARMA MAR,"72,5800","0,30","72,5800","72,0000",6.021,"435,65",31/05/2022,09:28:30
R.E.C.,"19,1450","-0,23","19,2450","19,0750",56.315,"1.078,15",31/05/2022,09:29:12
REPSOL,"15,2800","2,93","15,3000","14,9400",1.269.639,"19.239,71",31/05/2022,09:29:06
ROVI,"61,4500","-0,97","62,0000","61,4500",2.720,"168,13",31/05/2022,09:28:04
SIEMENS GAME,"17,9450","0,25","17,9600","17,8800",414.184,"7.425,84",31/05/2022,09:29:11
SOLARIA,"21,6000","-1,64","22,2700","21,2200",172.932,"3.752,31",31/05/2022,09:29:00
TELEFONICA,"4,9840","0,63","4,9920","4,9500",1.196.808,"5.948,05",31/05/2022,09:29:07
