Name,Last,% Diff,Max,Min,Volum,Cash,Date,Time
ACCIONA,"187,7000","4,57","188,1000","183,1000",199.330,"36.650,10",01/06/2022,12:19:35
ACERINOX,"12,0350","-0,25","12,2900","11,9150",911.697,"11.061,11",01/06/2022,12:15:01
ACS,"26,5000","0,38","26,8400","26,4700",130.203,"3.473,50",01/06/2022,12:19:06
AENA,"141,9500","-0,14","144,6500","141,9500",20.217,"2.886,76",01/06/2022,12:12:15
ALMIRALL,"10,4300","0,68","10,4900","10,3800",87.577,"914,25",01/06/2022,12:18:21
AMADEUS,"57,5000","-0,59","58,4800","57,4800",151.740,"8.808,56",01/06/2022,12:18:27
ARCELORMIT.,"29,4550","-1,75","30,2850","29,2450",173.968,"5.168,24",01/06/2022,12:17:05
B.SANTANDER,"3,0210","0,22","3,0585","3,0195",4.764.177,"14.452,70",01/06/2022,12:19:24
BA.SABADELL,"0,8380","0,60","0,8494","0,8368",8.113.274,"6.846,74",01/06/2022,12:19:24
BANKINTER,"5,9340","0,27","6,0000","5,9280",3.342.838,"19.968,91",01/06/2022,12:19:10
BBVA,"5,0890","0,20","5,1390","5,0820",1.817.173,"9.286,50",01/06/2022,12:19:24
CAIXABANK,"3,4120","1,31","3,4320","3,3850",4.685.006,"15.981,63",01/06/2022,12:19:21
CELLNEX,"41,4400","-1,40","42,2500","41,1700",160.362,"6.684,08",01/06/2022,12:19:18
CIE AUTOMOT.,"24,1800","1,60","24,3000","23,7200",86.127,"2.078,65",01/06/2022,12:09:53
ENAGAS,"21,4800","0,80","21,7200","21,4100",112.521,"2.423,68",01/06/2022,12:19:02
ENDESA,"20,5900","-0,19","20,9600","20,5500",147.210,"3.047,58",01/06/2022,12:19:07
FERROVIAL,"24,0200","0,04","24,2700","23,8800",114.807,"2.761,10",01/06/2022,12:19:40
FLUIDRA,"24,5600","-0,32","24,7600","24,4200",215.118,"5.300,91",01/06/2022,12:14:53
GRIFOLS CL.A,"19,5900","0,00","19,7500","19,3200",237.241,"4.633,28",01/06/2022,12:19:44
IAG,"1,5085","-0,13","1,5310","1,5015",5.733.362,"8.679,63",01/06/2022,12:19:16
IBERDROLA,"10,9350","-0,91","11,1150","10,9100",10.319.793,"113.759,92",01/06/2022,12:19:34
INDITEX,"22,5000","0,49","22,8200","22,4800",781.735,"17.681,72",01/06/2022,12:19:12
INDRA A,"10,2300","0,89","10,2800","10,1700",689.622,"7.038,01",01/06/2022,12:10:20
INM.COLONIAL,"7,6350","-0,13","7,7300","7,6350",131.494,"1.009,73",01/06/2022,12:13:15
MAPFRE,"1,7450","0,98","1,7520","1,7300",854.599,"1.490,51",01/06/2022,12:19:00
MELIA HOTELS,"7,5150","1,08","7,5900","7,4800",115.344,"868,70",01/06/2022,12:19:37
MERLIN,"10,5200","-0,09","10,6800","10,5200",188.366,"2.000,96",01/06/2022,12:16:45
NATURGY,"27,8200","-1,14","28,4600","27,6300",71.242,"1.993,96",01/06/2022,12:19:28
PHARMA MAR,"72,0000","-0,41","73,1400","71,7800",11.383,"822,75",01/06/2022,12:19:13
R.E.C.,"19,1900","-0,52","19,4650","19,1600",496.194,"9.623,27",01/06/2022,12:18:37
REPSOL,"15,0100","0,10","15,1900","14,9350",2.196.727,"33.038,31",01/06/2022,12:19:49
ROVI,"61,8500","-0,88","62,6500","61,1000",18.139,"1.121,19",01/06/2022,12:03:55
SIEMENS GAME,"17,9900","0,17","18,0700","17,9400",1.774.787,"31.889,50",01/06/2022,12:19:50
SOLARIA,"21,6400","-0,18","21,7600","20,9600",313.554,"6.659,55",01/06/2022,12:19:38
TELEFONICA,"4,8040","-2,00","4,8980","4,8040",6.134.266,"29.691,36",01/06/2022,12:19:41
